CommonName,BotanicalName,Family,PlantType,MatureSize,SunExposure,SoilType,SoilpH,BloomTime,FlowerColor,HardinessZones,NativeArea,Toxicity,NativeAreas,CommonNames,Commonname,Size,HardinessZone,NativeRange,FamilyName,ScientificName,FlowerColors,BotanicalNames,Botanicaname,Planttype,Maturesize,Sunexposure,Soiltype,Bloomtime,Flowercolor,Hardinesszones,Nativearea,BloomColor,USDAHardinessZone,USDAHardinessZones,Toxicity:,,"Mizunakyona,shuicai","5to7incheshigh,10to15incheswide","Well-drained,richsoil",Spring(nottypicallygrownforflowers),4to9,Botanicalname,GrowingTime,Commonnames,Phyllostachysaurea,LightExposure,GrowingZones,CommonName:,BotanicalName:,Family:,PlantType:,Size:,SunExposure:,SoilType:,SoilpH:,BloomTime:,HardinessZones:,NativeArea:,Dracaenatrifasciata(formerlySansevieriatrifasciata),"Evergreen,perennial",Shadetopartialsun,Slightlyacidictoslightlyalkaline,White,WestAfrica(tropical),BotaicalName,SoilNeeds,PlantTypes,Nativerange,BontanicalName,Soilp,Toxicty,otanicalName,NativeAreaEastern,GrowingMedia,LeafColor,ParrotTulip,"5inchesacross,15-20inchstems","Chalky,loamy,andsandysoil",Spring,4-7,PlantFamily,WaterpH,BoomTime,WaterType,Soil,PlantSize,USDAhardinesszone,SunType,Zones,BloomTIme,Parthenocissusquinquefolia,"Perennial,Vine","Full,Partial,Shade",Neutraltoacidic(5.1to7.3),Greenishwhite,EasternandCentralUnitedStates,USDAPlantHardinessZones,SoilpHN,Flower,Flower(Bract)Color,BotanialName,url,Water
Camperdown elm,Ulmus glabra 'Camperdownii',Null,Annual or perennial,20-25 feet tall and 20-30 feet wide,Full to part sun,Moist and sandy,Alkaline,March and April,Red,4 to 7,Scotland,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/camperdown-elm-plant-profile-5071063,Null
"Brass buttons, buttonweed, golden buttons","Leptinella squalida, formerly known as Cotula squalida",Compositae,"Perennial, groundcover",1-2 in. tall; 8-18 in. wide,Partial,Loamy,Acidic,Spring,Yellow,4-9 (USDA),New Zealand,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/brass-buttons-plant-care-and-growing-guide-4684970,"In its native habitat, brass buttons plant grows in damp areas. Keep your plants consistently moist to get the best color and plant health, but don't overwater, or root rot can set in. Mulch for the winter to keep roots moist."
"Night-blooming jasmine, The lady of the night, poisonberry",Cestrum nocturnum,Solanaceae,"Shrub, Evergreen",6-15 ft. tall,"Full sun, Partial shade","Moist, Well-drained","Acidic, Neutral","Spring, Summer","Green, White, Yellow / Golden","8-11, USA","South America, West Indies","Toxic to pets, toxic to people1",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/night-blooming-jasmine-growing-guide-5210438,"These plants are moisture lovers. They need frequent watering to produce healthy, fragrant blooms. While establishing, they might need saturating several times a week and then at least weekly once they have taken root during the growing season. During the dormant winter season, established plants will require minimal watering."
'Red Sunset' maple,Acer rubrum 'Franksred',Sapindaceae,Deciduous tree,"40–50 ft. tall, 30–40 ft. wide","Full, partial","Rich, moist but well-drained",Acidic to slightly acidic (4.5 to 6.5),Spring,"Red on the female, yellow on the male (not showy)",3–9 (USDA),Nursery cultivar; Acer rubrum is native to North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-red-sunset-maple-5101163,"'Red Sunset' maple has above-average water needs and its soil must be kept evenly moist. About 1 inch of water each week, through a combination of rainfall and irrigation, should be considered the minimum. A thick layer of mulch over the root zone can help preserve soil moisture."
" Pawpaw, paw paw", Asimina triloba, Annonaceae, Tree," 15-25 ft. tall, 15 ft. wide"," Full, partial", Moist but well-drained," Acidic, neutral", Spring, Purple," 5-8, USA", North America, Toxic to humans,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/pawpaw-plant-growing-guide-5200957,"Young pawpaw trees will require regular watering. However, it’s important to ensure that the soil is draining efficiently and you don’t allow this tree to become waterlogged. Mature, established pawpaw trees near a water source or that receive regular rainfall generally require very little supplemental water. Pawpaw trees planted in an orchard or in a full sun location in your yard may benefit from additional irrigation to prevent dry soil conditions."
Null,Cucumis sativus ,Null,Annual ,"9 to 18 inches tall, 3 to 8 feet wide ",Full sun to partial shade ,"Rich, well-draining ",Acidic to neutral (5.5 to 7.0) ,Seasonal ,Yellow ,4 to 11 (USDA),Asia ,Null,Null,"Cucumber, gherkin ",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-cucumbers-of-all-shapes-and-sizes-1403458,"Give the plants at least 1 inch of water per week, especially when fruits are present (cucumbers are mostly water). Don’t let them sit in wet soil or let the soil dry out. Consistent, regular watering is critical for well-formed fruits that taste good. Missing waterings leads to bitter fruit."
"Society Garlic, pink agapanthus",Tulbaghia violacea,Null,Tuberous blooming perennial,1 to 2 ft. tall,Full sun,Well-drained loam or light sandy soil,Neutral (6.8 to 7.5),Early summer to autumn,"Lilac, lavender, pink","7-10, USDA",Eastern South Africa,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/society-garlic-plant-profile-5180171,"Water plants slowly and deeply in case there is a drought in spring or summer. It's important that you're careful not to overwater the plant. Tubers are susceptible to rot, especially when planted in soggy or wet soil. Your garlic plants will do best when watered with regularity during their growing season, allowed to dry out slightly when in bloom, and allowed to almost completely dry out during winter dormancy."
"Cineraria, Florist's cineraria",Pericallis × hybrida,Asteraceae,"Tender perennial, usually grown as annual","6–12 in. tall, 9–12 in. wide",Partial to full shade,Moist but well-draining,Acidic (5.5–6.0),Seasonal bloomer; blossoms 16 to 18 weeks after seed germination,Various (no yellow),9–11 (USDA),Null,Null,Nursery hybrid; parent species are from the Azores and Canary Islands,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/cineraria-plant-profile-4846133,"Cineraria needs constant moisture but it still needs to breathe. Water well and frequently at the base of the plant, checking the soil to make sure it feels moist but not soggy. Steady watering in hot weather is a must. But at the same time, cineraria doesn't like constantly soggy soil, which can encourage root and crown rot diseases. Thus, it's critical that frequent watering is paired with well-draining soil."
One Seed Juniper,Juniperus monosperma ,Null,"Tree, Shrub",12-35 ft. tall,Full Sun to Part Shade,"Sandy, Gravelly, Loose Rock",Neutral,No Bloom,No flower but shows blue to purple berry like cones.,5-9,Null,Null,Null,Null,Null,Null,Null,Southwest United States,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-one-seed-juniper-trees-5078318,"As mentioned, this plant is perfect for xeriscaping. It does not require much watering and is exceptionally drought tolerant with the ability to shut off growth till water is available."
Broccoli,Brassica oleracea var. italica,Brassicaceae,"Biennial, annual, vegetable",Null,Full sun ,"Moist, loamy, well-drained ","Acidic, neutral",Null,Null,2–11 (USDA) ,"Mediterranean, Asia ",Null,Null,Null,Null,"18–30 in. tall, 12–24 in. wide ",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-broccoli-plants-in-the-vegetable-garden-1403457,"Keep the soil moist but never soggy. Also, water from the base of the plant, not overhead as this can promote rot. Around 1 to 1.5 inches of water per week should suffice. A layer of mulch can help to retain soil moisture."
"Flowering crabapple, flowering crab",Malus spp. and cultivars,Rosaceae,Flowering fruit tree,"15–20 ft. tall, 12–20 ft. wide (occasionally larger)",Full,"Rich, loamy, well-drained",Acidic to neutral (5.5 to 6.5),Late spring,White to pink,4–8 (USDA),"North America, Europe, Asia","Seeds are toxic to human and animals, if consumed in large quantities",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/crabapple-tree-plant-profile-4801469,"Once established, your crabapple tree should not need extra watering unless there is an exceptionally dry season. They tend to be drought-tolerant, but if the rainfall for your area is particularly low, give your tree a deep watering at the base of the tree, in the morning or evening once a week, to keep it healthy. About 1 inch of water per week, through a combination of rainfall and irrigation, is ideal for these trees."
Null,Sedum spp.,Crassulaceae,Perennial,"6–24 in. tall, 12–24 in. wide","Full, partial","Sandy, loamy, well-drained","Acidic, neutral","Summer, fall","Red, pink, yellow, white",3–10 (USDA),"North America, South America, Central America, Europe, Asia, Africa, Mediterranean",Null,Null,"Sedum, stonecrop, showy stonecrop, border stonecrop",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-sedum-showy-stonecrop-1402861,"Water new sedum plants roughly once a week to prevent the soil from drying out. Once established, sedum plants typically won’t need any supplemental watering unless you have a long stretch without rainfall and/or very hot temperatures. Thanks to their thick succulent leaves, sedum plants have good drought tolerance."
"Garlic mustard, garlic root, sauce-alone, jack-by-the-hedge, mustard-root",Alliaria petiolata,Null,"Herbaceous, biennial","1–4 ft. tall, 6–18 in. wide",Null,"Sandy, loamy, moist",Null,Spring,White,4–8 (USDA),Europe,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/garlic-mustard-plant-profile-invasiveness-and-identification-5082020,Null
Hollyhocks,Alcea spp.,Malvaceae,"Herbaceous, Perennial, Biennial","Typically up to 8 ft. tall, 1-2 ft. wide","Full sun, Partial shade","Moist, Well-drained","Acid, Neutral, Alkaline",Summer,"Various including White, Pink, Red, Yellow, Lavender"," 2-10, USA","Asia, Europe",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/hollyhock-alcea-growing-guide-5200999,"Seedlings and young hollyhocks prefer consistently moist conditions—aim to keep the top 5 inches of soil damp. Soggy conditions, however, are a problem, particularly in the winter. Once established, your hollyhocks may only need watering when you experience prolonged hot and dry spells.

Water hollyhocks at the roots and not on their leaves to help prevent problems with the fungal disease rust."
Null,Costus woodsonii,Costaceae,"Perennial, herbaceous, rhizome","3–6 ft. tall, 2–3 ft. wide",Partial sun to partial shade,Moist but well-drained,Neutral to acidic,Summer,Yellow-orange,9–11 (USDA),Central America,Null,Null,"Red button ginger, Indian head ginger, scarlet spiral flag. red cane",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/red-button-ginger-plant-profile-5070527,"Red button ginger plants love water and should be soaked regularly to maintain moist soil, requiring at least one inch of water per week. A once-weekly deep watering is sufficient in most climates, but you might need to increase your watering cadence in especially hot or dry weather. Ultimately, never let the soil dry out completely."
Lodi apple tree,Malus lodi,Null,Fruit tree,20 feet tall,Full sun,"Well-drained, loamy",6-7,July,Greenish yellow apples,3-8,Washington,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-lodi-apple-trees-5083732,"The Lodi apple tree should be regularly watered, particularly in the first three years after planting."
"Fava bean, faba bean, broad bean",Vicia faba,Fabaceae,"Annual, vegetable",Null,Full to part sun,"Loamy, moist, well-drained","Acidic, neutral (6.2 to 6.8)","Spring, summer",Null,2–10 (USDA),"Asia, Mediterranean",Toxic to people with favism,Null,Null,Null,"2–6 ft. tall, 0.75–1 ft. wide",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-fava-beans-1403460,"The plants have average water needs and some drought tolerance. About an inch of water per week is fine. However, during flower and fruit production, keep the soil evenly moist but never soggy."
"Blue fescue, blue fescue grass",Festuca glauca,Poaceae,"Perennial, grass","6-12 in. in high, 6-18 in. spread","Full, part","Moist, well-draining","Neutral, acidic, alkaline",Summer,"Green, yellow",4-8 (USDA),Europe,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/blue-fescue-grass-2132481,"This plant has average moisture needs. Water weekly during hot summer months to keep it green and growing; short periods of drought will stunt, but not kill the plant."
Ostrich fern,Matteuccia struthiopteris,Onocleaceae,Perennial,"3-6 ft. tall, 5-8 ft. wide","Partial, shade","Clay, moist","Acidic, neutral ",Null,Null,3-7 (USDA),"Europe, Asia, North America",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-ostrich-ferns-5094167,"Water throughout the summer to maintain medium to wet conditions. Without enough moisture, the foliage may go dormant too early."
Doublefile viburnum,Viburnum plicatum f. tomentosum 'Mariesii',Adoxaceae,Shrub,"8-16 ft. tall, 12-15 ft. wide","Full, partial","Loamy, moist but well-drained","Neutral, Acidic, Alkaline",Spring,White,5-8 (USDA),Null,Null,Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/doublefile-viburnum-shrub-2132714,"Doublefile viburnum likes to be kept consistently moist, though it will tolerate dry conditions once the shrub is mature."
"Butcher's broom, horse tongue lily",Ruscus ,Asparagaceae,Shrub,"3 ft. tall, 2-4 ft. wide","Partial, full",Well-drained,Acidic,Spring,"White, purple, yellow",6-9 (USDA),Null,Null,"Africa, Asia, Europe",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/ruscus-growing-guide-5218959,"Although ruscus is known to be very drought-tolerant, regular doses of rain keep the foliage looking vibrant. If there is a long period of hot dry weather and the foliage begins to fade, deep watering every three days or so will help revive it."
"Pineapple Guava, Feijoa",Acca sellowiana,Myrtaceae,"Perennial, Tree, Shrub, Fruit","20 ft. tall, 20 ft. wide","Full, Partial","Loamy, Moist but Well-drained","Acidic, Neutral",Spring,"Red, Pink, White","8-11, USA",South America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/pineapple-guava-growing-guide-5214260,"Pineapple guava trees enjoy consistently moist soil, so a regular watering schedule is recommended. However, you need to beware of overwatering, as this can lead to root rot. "
Kumquat,Citrus japonica,Rutaceae,"Fruit, tree, perennial",Null,Full sun,"Loamy, moist, well-drained","Acidic, neutral (6.0 to 7.0)","Spring, summer",Null,9–11 (USDA),Asia,Null,Null,Null,Null,"7–10 ft. tall, 5–8 ft. wide",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-kumquat-in-containers-848165,"These fruit trees like evenly moist but not soggy soil. If you stick your finger in the soil down to the second knuckle and it feels dry at your fingertip, it's likely time to water. A 2- to 3-inch layer of mulch over the tree's root zone can help to maintain soil moisture. Just make sure to keep the mulch at least 3 inches away from the tree trunk, because moisture retention on the trunk can cause diseases and decay and can provide a path for insect and rodent damage."
Azalea,Rhododendron spp.,Ericaceae,Deciduous or evergreen shrub,"3–20 ft. tall, wide",Null,"Light, well-drained",Acidic (4.5 to 6.0),Early spring to summer,"White, pink, red, orange, peach",6b-8a (USDA); varies by species,Null,Toxic to humans and pets,"Asia, Europe, North America",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-care-for-azaleas-5074145,"Azaleas need water to bloom, and spring rain showers usually do the job. However, if the spring is dry, extra watering can be beneficial."
Pansy orchid,"Miltonia, Miltoniopsis",Orchidaceae,Perennial,12-20 in. tall,Indirect sun to part shade,Null,Null,Species specific,"Red, yellow, green, white, brown","11-12, USDA","Brazil, Colombia to Costa Rica",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"Fir bark, moss, pebbles",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/miltonia-orchid-care-guide-5221547,"The water needs of these two genera also differ although watering for both may be decreased during the grayest periods of winter. Too much water without at least some sun can lead to root rot. Let the medium for Miltonia (Brazil) to dry out before a thorough watering. Be sure to drain any excess. Miltoniopsis prefers a consistently moist but not wet medium. It's best to water orchids in the morning, giving them a chance to dry out before nightfall."
